Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,79.79000091552734,80.22000122070312,79.38999938964844,79.87999725341797,65.84445190429688,1416232
2020-01-03,80.97000122070312,81.19000244140625,80.25,80.30999755859375,66.19889831542969,1622784
2020-01-06,79.7300033569336,79.87999725341797,79.2300033569336,79.7699966430664,65.75377655029297,2129260
2020-01-07,80.81999969482422,81.19999694824219,80.18000030517578,81.19999694824219,66.93252563476562,2417468
2020-01-08,81.22000122070312,81.25,80.02999877929688,80.9000015258789,66.68522644042969,1719114
2020-01-09,81.5,81.83999633789062,81.16999816894531,81.48999786376953,67.17155456542969,3014295
2020-01-10,81.62999725341797,82.5,81.6050033569336,82.5,68.00409698486328,2875353
2020-01-13,82.0999984741211,82.58000183105469,81.7300033569336,82.4800033569336,67.98762512207031,1434635
2020-01-14,82.95999908447266,83.5199966430664,82.7699966430664,83.16999816894531,68.5563735961914,2703855
2020-01-15,83.0999984741211,83.7699966430664,83.0999984741211,83.66000366210938,68.96027374267578,2039328
2020-01-16,84.0,84.45999908447266,83.87999725341797,84.45999908447266,69.61970520019531,3058484
2020-01-17,84.73999786376953,84.95999908447266,84.01000213623047,84.05000305175781,69.28175354003906,2401336
2020-01-20,84.0,84.4000015258789,83.83000183105469,83.93000030517578,69.18283081054688,1980399
2020-01-21,83.87999725341797,83.87999725341797,83.19999694824219,83.4800033569336,68.81190490722656,1923944
2020-01-22,83.5,84.55999755859375,83.48999786376953,84.44999694824219,69.6114730834961,3656698
2020-01-23,84.44000244140625,84.94999694824219,84.26000213623047,84.5199966430664,69.66915893554688,2105704
2020-01-24,84.9000015258789,85.4000015258789,84.7699966430664,84.94000244140625,70.015380859375,2839291
2020-01-28,83.69999694824219,84.06999969482422,83.54000091552734,84.0199966430664,69.25701141357422,2273413
2020-01-29,84.44000244140625,84.86000061035156,84.16000366210938,84.61000061035156,69.74334716796875,1877335
2020-01-30,84.83999633789062,85.44000244140625,84.68000030517578,85.44000244140625,70.42752075195312,3176161
2020-01-31,85.56999969482422,85.97000122070312,84.9000015258789,85.26000213623047,70.27915954589844,6713764
